"Antoni Borecki,320411062,16.103,,146,WC 37,10,Continental Championship  Matchday 8,08/11/2024,89,8,5.5,2,-1,-1,-1,-1,5.5,-1.0,-1.0,-1.0,-1.0,-1.0,23.04.2023 bramkarz (90'),Polska,26.04.2023"
"Jozef Polom,318886413,16.081,,82,WC 37,15,Continental Championship - Finals,06/12/2024,89,12,-1,5,5,4,4,4.5,-1.0,-1.0,5.0,-1.0,-1.0,4.5,21.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Kasjusz Polny,320520826,16.102,T,124,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,2,-1,4.5,4.5,5,5.5,2.0,-1.0,-1.0,4.5,-1.0,-1.0,19.03.2023 pomocnik (90'),Polska,26.04.2023"
"Dawid Nyk,328202094,15.042,,8,WC 38,1,Friendly,02/05/2025,91,1,-1,-1,2.5,-1,3.5,-1,-1.0,-1.0,2.5,-1.0,3.5,-1.0,23.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Fryderyk Pacan,326172538,16.032,,41,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,2.5,-1,3.5,-1,-1,-1.0,2.5,-1.0,3.5,-1.0,-1.0,23.04.2023 pomocnik (90'),Polska,26.04.2023"
"Zbigniew Winkler,325604683,15.070,P,57,WC 37,37,World Cup - Round IV  Matchday 3,04/04/2025,90,13,-1,2,2.5,3.5,4,-1,-1.0,-1.0,2.5,3.5,4.0,-1.0,21.04.2023 skrzydlowy (90'),Polska,26.04.2023"
"Otto Stelmachowski,321838042,16.029,H,73,WC 37,23,World Cup - Round I  Matchday 8,24/01/2025,90,3,-1,3,4,4,5,4,-1.0,3.0,4.0,4.0,5.0,-1.0,23.04.2023 boczny_obronca (90'),Polska,26.04.2023"
"Jedrzej Golaszewski,320843771,16.061,,22,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,-1,5,5.5,-1,-1,-1,-1.0,5.0,5.5,-1.0,-1.0,-1.0,21.04.2023 stoper (29'),Polska,26.04.2023"
"Jan Penc,322939376,16.035,,67,WC 37,22,World Cup - Round I  Matchday 7,17/01/2025,90,2,-1,4,4,5,4.5,6,-1.0,-1.0,-1.0,5.0,-1.0,6.0,23.04.2023 pomocnik (90'),Polska,26.04.2023"
"Gabriel Wrebiak,325044295,16.098,,47,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,3,3,5,4,6.5,-1.0,-1.0,3.0,5.0,-1.0,6.5,23.04.2023 napastnik (90'),Polska,26.04.2023"
"Aleksander Danik,320220791,16.062,P,111,WC 37,18,World Cup - Round I  Matchday 3,20/12/2024,89,14,0.5,3,3,4.5,4,3.5,-1.0,3.0,-1.0,4.5,-1.0,-1.0,23.04.2023 pomocnik (90'),Polska,26.04.2023"
"Przemyslaw Malczewski,318807002,16.098,,102,WC 37,11,Continental Championship  Matchday 9,15/11/2024,89,9,-1,4,3.5,4,4,4.5,-1.0,3.0,-1.0,4.0,4.0,4.5,21.04.2023 stoper (61'),Polska,26.04.2023"
"Patryk Bogacki,323056051,16.069,T,96,WC 37,17,World Cup - Round I  Matchday 2,16/12/2024,89,14,2,-1,4,5,4,4,2.0,-1.0,4.0,-1.0,4.0,4.0,05.04.2023 pomocnik (3'),Polska,26.04.2023"
"Piotr Wardecki,325604486,16.001,,34,WC 37,29,World Cup - Round II  Matchday 4,24/02/2025,90,8,-1,-1,3,3,-1,4,-1.0,-1.0,-1.0,3.0,-1.0,4.0,23.04.2023 napastnik (90'),Polska,26.04.2023"
"Jacenty Podstawka,326338617,15.056,,27,WC 37,41,World Cup - Semifinals,21/04/2025,90,16,-1,2,-1,3,-1,4,-1.0,2.0,-1.0,3.0,-1.0,4.0,23.04.2023 napastnik (90'),Polska,26.04.2023"
"Marcin Proniewski,328317257,15.086,Q,14,WC 37,34,World Cup - Round III  Matchday 3,21/03/2025,90,11,-1,-1,3,-1,4,-1,-1.0,-1.0,3.0,-1.0,4.0,-1.0,23.04.2023 boczny_obronca (90'),Polska,26.04.2023"
